"President","Party","Home State"
"George Washington","Independent","Virginia"
"John Adams","Federalist","Massachusetts"
"Thomas Jefferson","Dem/Rep","Virginia"
"James Madison","Dem/Rep","Virginia"
"James Monroe","Dem/Rep","Virginia"
"John Quincy Adams","Dem-Rep/Nat-Rep","Massachusetts"
"Andrew Jackson","Democratic","Tennessee"
"Martin Van Buren","Democratic","New York"
"William Henry Harrison","Whig","Ohio"
"John Tyler","Whig","Virginia"
"James K. Polk","Democratic","Tennessee"
"Zachary Taylor","Whig","Louisiana"
"Millard Fillmore","Whig","New York"
"Franklin Pierce","Democratic","New Hampshire"
"James Buchanan","Democratic","Pennsylvania"
"Abraham Lincoln","Rep/Nat Union","Illinois"
"Andrew Johnson","Dem/Nat Union","Tennessee"
"Ulysses S. Grant","Republican","Ohio"
"Rutherford B. Hayes","Republican","Ohio"
"James A. Garfield","Republican","Ohio"
"Chester A. Arthur","Republican","New York"
"Grover Cleveland","Democratic","New York"
"Benjamin Harrison","Republican","Indiana"
"Grover Cleveland (2nd term)","Democratic","New York"
"William McKinley","Republican","Ohio"
"Theodore Roosevelt","Republican","New York"
"William Howard Taft","Republican","Ohio"
"Woodrow Wilson","Democratic","New Jersey"
"Warren G. Harding","Republican","Ohio"
"Calvin Coolidge","Republican","Massachusetts"
"Herbert Hoover","Republican","Iowa"
"Franklin D. Roosevelt","Democratic","New York"
"Harry S. Truman","Democratic","Missouri"
"Dwight D. Eisenhower","Republican","Texas"
"John F. Kennedy","Democratic","Massachusetts"
"Lyndon B. Johnson","Democratic","Texas"
"Richard Nixon","Republican","California"
"Gerald Ford","Republican","Michigan"
"Jimmy Carter","Democratic","Georgia"
"Ronald Reagan","Republican","California"
"George H. W. Bush","Republican","Texas"
"Bill Clinton","Democratic","Arkansas"
"George W. Bush","Republican","Texas"
"Barack Obama","Democratic","Illinois"
"Donald Trump","Republican","New York"
